life_expectancy_year_1990_both_sex,life_expectancy_year_1990_female,life_expectancy_year_1990_male,life_expectancy_year_2000_both_sex,life_expectancy_year_2000_female,life_expectancy_year_2000_male,life_expectancy_year_2010_both_sex,life_expectancy_year_2010_female,life_expectancy_year_2010_male,margin_of_error_year_1990_both_sex,margin_of_error_year_1990_female,margin_of_error_year_1990_male,margin_of_error_year_2000_both_sex,margin_of_error_year_2000_female,margin_of_error_year_2000_male,margin_of_error_year_2010_both_sex,margin_of_error_year_2010_female,margin_of_error_year_2010_male,state_city_county
76.35,80.09,72.77,76.11,80.47,71.89,79.83,82.43,77.29,2.48,3.3,3.55,2.57,2.9,4.08,2.54,3.22,3.84,Washington
77.24,82.37,72.46,77.06,80.78,73.57,77.22,80.65,73.99,2.31,3.04,3.27,2.35,3.45,3.1,2.35,2.79,3.55,Wayne
75.23,79.75,70.82,76.63,79.03,74.12,76.85,78.76,74.92,2.33,3.1,3.29,2.02,2.91,2.73,2.32,3.18,3.36,White
75.48,78.24,72.6,78.33,80.91,75.6,78.97,81.51,76.41,1.21,1.62,1.73,1.13,1.59,1.57,1.17,1.57,1.68,Whiteside
75.68,78.6,72.61,77.69,79.99,75.27,79.85,81.97,77.59,0.52,0.71,0.73,0.43,0.58,0.61,0.37,0.5,0.54,Will
76.04,79.86,72.12,76.04,78.95,73.06,76.47,78.58,74.32,1.18,1.62,1.61,1.15,1.52,1.65,1.13,1.63,1.55,Williamson
76.17,79.15,72.99,76.69,79.37,73.89,78.12,81.02,75.14,0.61,0.82,0.86,0.56,0.76,0.8,0.56,0.74,0.81,Winnebago
78.34,80.83,75.61,79.06,81.08,76.81,80.42,82.36,78.36,1.64,2.22,2.34,1.53,2.11,2.14,1.38,1.78,2.07,Woodford
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
