"county","state","voteshare","year","dem1912_3party","note","incparty","incumbency","attacks","electionyearattacks","coastal"
"CALHOUN","AL",0.795979917049408,1880,NA,".",-1,0,0,0,0
"CALHOUN","AL",0.656312644481659,1884,NA,".",-1,0,0,0,0
"CALHOUN","AL",0.740480959415436,1888,NA,".",1,1,0,0,0
"CALHOUN","AL",0.95695698261261,1892,NA,".",-1,-1,0,0,0
"CALHOUN","AL",0.654921054840088,1896,NA,".",1,0,0,0,0
"CALHOUN","AL",0.764245808124542,1900,NA,".",-1,-1,0,0,0
"CALHOUN","AL",0.844700932502747,1904,NA,".",-1,0,0,0,0
"CALHOUN","AL",0.71594512462616,1908,NA,".",-1,0,0,0,0
"CALHOUN","AL",0.874689817428589,1912,0.715736031532288,".",-1,-1,0,0,0
"CALHOUN","AL",0.834693849086761,1916,NA,".",1,1,0,0,0
"CALHOUN","AL",0.75,1920,NA,".",1,0,0,0,0
"CALHOUN","AL",0.713080167770386,1924,NA,".",-1,-1,0,0,0
"CALHOUN","AL",0.455000013113022,1928,NA,".",-1,0,0,0,0
"CALHOUN","AL",0.865191161632538,1932,NA,".",-1,-1,0,0,0
"CALHOUN","AL",0.879676461219788,1936,NA,".",1,1,0,0,0
"CALHOUN","AL",0.872489988803864,1940,NA,".",1,1,0,0,0
"CALHOUN","AL",0.861167013645172,1944,NA,".",1,1,0,0,0
"CALHOUN","AL",0.790235102176666,1948,NA,".",1,1,0,0,0
"CALHOUN","AL",0.723646998405457,1952,NA,".",1,0,0,0,0
"CALHOUN","AL",0.669700026512146,1956,NA,".",-1,-1,0,0,0
"CALHOUN","AL",0.666100025177002,1960,NA,".",-1,0,0,0,0
"CALHOUN","AL",0,1964,NA,".",1,1,0,0,0
"CALHOUN","AL",0.575299978256226,1968,NA,".",1,0,0,0,0
"CALHOUN","AL",0.222599998116493,1972,NA,".",-1,-1,0,0,0
"CALHOUN","AL",0.634999990463257,1976,NA,".",-1,-1,0,0,0
"CALHOUN","AL",0.493400007486343,1980,NA,".",1,1,0,0,0
"CALHOUN","AL",0.353799998760223,1984,NA,".",-1,-1,0,0,0
"CALHOUN","AL",0.386000007390976,1988,NA,".",-1,0,0,0,0
"CALHOUN","AL",0.443800002336502,1992,NA,".",-1,-1,0,0,0
"CALHOUN","AL",0.465099990367889,1996,NA,".",1,1,0,0,0
"CALHOUN","AL",0.414299994707108,2000,NA,".",1,0,0,0,0
"CALHOUN","AL",0.335900008678436,2004,NA,".",-1,-1,0,0,0
"CALHOUN","AL",0.335500001907349,2008,NA,".",-1,0,0,0,0
"CALHOUN","AL",0.338734179735184,2012,NA,".",1,1,0,0,0
"CHAMBERS","AL",0.574000000953674,1872,NA,".",-1,-1,0,0,0
"CHAMBERS","AL",0.684000015258789,1876,NA,".",-1,0,0,0,0
"CHAMBERS","AL",0.684848487377167,1880,NA,".",-1,0,0,0,0
"CHAMBERS","AL",0.635999977588654,1884,NA,".",-1,0,0,0,0
"CHAMBERS","AL",0.569999992847443,1888,NA,".",1,1,0,0,0
"CHAMBERS","AL",0.973999977111816,1892,NA,".",-1,-1,0,0,0
"CHAMBERS","AL",0.619318187236786,1896,NA,".",1,0,0,0,0
"CHAMBERS","AL",0.772916674613953,1900,NA,".",-1,-1,0,0,0
"CHAMBERS","AL",0.950785338878632,1904,NA,".",-1,0,0,0,0
"CHAMBERS","AL",0.953751266002655,1908,NA,".",-1,0,0,0,0
"CHAMBERS","AL",0.981621623039246,1912,0.913480877876282,".",-1,-1,0,0,0
"CHAMBERS","AL",0.908998966217041,1916,NA,".",1,1,0,0,0
"CHAMBERS","AL",0.861167013645172,1920,NA,".",1,0,0,0,0
"CHAMBERS","AL",0.929519891738892,1924,NA,".",-1,-1,0,0,0
"CHAMBERS","AL",0.36599999666214,1928,NA,".",-1,0,0,0,0
"CHAMBERS","AL",0.882530152797699,1932,NA,".",-1,-1,0,0,0
"CHAMBERS","AL",0.969969987869263,1936,NA,".",1,1,0,0,0
"CHAMBERS","AL",0.973947882652283,1940,NA,".",1,1,0,0,0
"CHAMBERS","AL",0.946840524673462,1944,NA,".",1,1,0,0,0
"CHAMBERS","AL",0.875,1948,NA,".",1,1,0,0,0
"CHAMBERS","AL",0.861513674259186,1952,NA,".",1,0,0,0,0
"CHAMBERS","AL",0.781000018119812,1956,NA,".",-1,-1,0,0,0
"CHAMBERS","AL",0.735000014305115,1960,NA,".",-1,0,0,0,0
"CHAMBERS","AL",0,1964,NA,".",1,1,0,0,0
"CHAMBERS","AL",0.556599974632263,1968,NA,".",1,0,0,0,0
"CHAMBERS","AL",0.192399993538857,1972,NA,".",-1,-1,0,0,0
"CHAMBERS","AL",0.528999984264374,1976,NA,".",-1,-1,0,0,0
"CHAMBERS","AL",0.577499985694885,1980,NA,".",1,1,0,0,0
"CHAMBERS","AL",0.397899985313416,1984,NA,".",-1,-1,0,0,0
"CHAMBERS","AL",0.398799985647202,1988,NA,".",-1,0,0,0,0
"CHAMBERS","AL",0.510999977588654,1992,NA,".",-1,-1,0,0,0
"CHAMBERS","AL",0.539499998092651,1996,NA,".",1,1,0,0,0
"CHAMBERS","AL",0.481900006532669,2000,NA,".",1,0,0,0,0
"CHAMBERS","AL",0.412299990653992,2004,NA,".",-1,-1,0,0,0
"CHAMBERS","AL",0.457399994134903,2008,NA,".",-1,0,0,0,0
"CHAMBERS","AL",0.473965704441071,2012,NA,".",1,1,0,0,0
"CHEROKEE","AL",0.842999994754791,1872,NA,".",-1,-1,0,0,0
"CHEROKEE","AL",0.850000023841858,1876,NA,".",-1,0,0,0,0
"CHEROKEE","AL",0.884999990463257,1880,NA,".",-1,0,0,0,0
"CHEROKEE","AL",0.765999972820282,1884,NA,".",-1,0,0,0,0
"CHEROKEE","AL",0.835353553295135,1888,NA,".",1,1,0,0,0
"CHEROKEE","AL",0.955955982208252,1892,NA,".",-1,-1,0,0,0
"CHEROKEE","AL",0.522682428359985,1896,NA,".",1,0,0,0,0
"CHEROKEE","AL",0.5,1900,NA,".",-1,-1,0,0,0
"CHEROKEE","AL",0.643028855323792,1904,NA,".",-1,0,0,0,0
"CHEROKEE","AL",0.541935503482819,1908,NA,".",-1,0,0,0,0
"CHEROKEE","AL",0.903100788593292,1912,0.478931128978729,".",-1,-1,0,0,0
"CHEROKEE","AL",0.69113153219223,1916,NA,".",1,1,0,0,0
"CHEROKEE","AL",0.55544251203537,1920,NA,".",1,0,0,0,0
"CHEROKEE","AL",0.620266139507294,1924,NA,".",-1,-1,0,0,0
"CHEROKEE","AL",0.370741486549377,1928,NA,".",-1,0,0,0,0
"CHEROKEE","AL",0.841093122959137,1932,NA,".",-1,-1,0,0,0
"CHEROKEE","AL",0.849798381328583,1936,NA,".",1,1,0,0,0
"CHEROKEE","AL",0.872489988803864,1940,NA,".",1,1,0,0,0
"CHEROKEE","AL",0.813319861888885,1944,NA,".",1,1,0,0,0
"CHEROKEE","AL",0.829944550991058,1948,NA,".",1,1,0,0,0
